deaths_0-5_circ,deaths_25+_circ,deaths_5-25_circ,Population_0-5,Population_25+,Population_5-25,STATEFP,COUNTYFP,mort_0-5_circ,mort_5-25_circ,mort_25+_circ,deaths_0-5_resp,deaths_25+_resp,deaths_5-25_resp,mort_0-5_resp,mort_5-25_resp,mort_25+_resp,deaths_0-5_all,deaths_25+_all,deaths_5-25_all,mort_0-5_all,mort_5-25_all,mort_25+_all,deaths_0-5_circ_est,deaths_25+_circ_est,deaths_5-25_circ_est,mort_0-5_circ_est,mort_5-25_circ_est,mort_25+_circ_est,deaths_0-5_resp_est,deaths_25+_resp_est,deaths_5-25_resp_est,mort_0-5_resp_est,mort_5-25_resp_est,mort_25+_resp_est,deaths_0-5_all_est,deaths_25+_all_est,deaths_5-25_all_est,mort_0-5_all_est,mort_5-25_all_est,mort_25+_all_est
,104.0,,1531.0,16339.0,6153.0,5,111,,,0.006365,,42.0,,,,0.002571,,337.0,,,,0.020625,,104.0,,,,0.006365,,42.0,,,,0.002571,,337.0,,,,0.020625
,76.0,,1230.0,13988.0,4955.0,5,113,,,0.005433,,,,,,,,230.0,,,,0.016443,,76.0,,,,0.005433,,,,,,,,230.0,,,,0.016443
,159.0,,4001.0,40751.0,19027.0,5,115,,,0.003902,,52.0,,,,0.001276,,574.0,,,,0.014086,,159.0,,,,0.003902,,52.0,,,,0.001276,,574.0,,,,0.014086
,,,465.0,5966.0,1820.0,5,117,,,,,,,,,,,90.0,,,,0.015085,,,,,,,,,,,,,,90.0,,,,0.015085
,1172.0,,26752.0,265934.0,100564.0,5,119,,,0.004407,,270.0,,,,0.001015,41.0,3540.0,65.0,0.001533,0.000646,0.013312,,1172.0,,,,0.004407,,270.0,,,,0.001015,41.0,3540.0,65.0,0.001533,0.000646,0.013312
,65.0,,1001.0,12271.0,4176.0,5,121,,,0.005297,,12.0,,,,0.000978,,213.0,,,,0.017358,,65.0,,,,0.005297,,12.0,,,,0.000978,,213.0,,,,0.017358
,87.0,,1625.0,18228.0,6343.0,5,123,,,0.004773,,10.0,,,,0.000549,,266.0,,,,0.014593,,87.0,,,,0.004773,,10.0,,,,0.000549,,266.0,,,,0.014593
,317.0,,6946.0,82480.0,29277.0,5,125,,,0.003843,,107.0,,,,0.001297,10.0,1080.0,,0.00144,,0.013094,,317.0,,,,0.003843,,107.0,,,,0.001297,10.0,1080.0,,0.00144,,0.013094
,12.0,,589.0,7082.0,2606.0,5,127,,,0.001694,,,,,,,,135.0,,,,0.019062,,12.0,,,,0.001694,,,,,,,,135.0,,,,0.019062
,23.0,,416.0,5827.0,1724.0,5,129,,,0.003947,,,,,,,,127.0,,,,0.021795,,23.0,,,,0.003947,,,,,,,,127.0,,,,0.021795
,397.0,,8335.0,85192.0,34266.0,5,131,,,0.00466,,137.0,,,,0.001608,11.0,1258.0,10.0,0.00132,0.000292,0.014767,,397.0,,,,0.00466,,137.0,,,,0.001608,11.0,1258.0,10.0,0.00132,0.000292,0.014767
,31.0,,1280.0,10548.0,5082.0,5,133,,,0.002939,,,,,,,,161.0,,,,0.015264,,31.0,,,,0.002939,,,,,,,,161.0,,,,0.015264
