STATEFP,proportion_homeless_2019,COUNTYFP
21,0.000913,055
21,0.000913,057
21,0.000913,059
21,0.000913,061
21,0.000913,063
21,0.000913,065
21,0.000913,067
21,0.000913,069
21,0.000913,071
21,0.000913,073
21,0.000913,075
21,0.000913,077
21,0.000913,079
21,0.000913,081
21,0.000913,083
21,0.000913,085
21,0.000913,087
21,0.000913,089
21,0.000913,091
21,0.000913,093
21,0.000913,095
21,0.000913,097
21,0.000913,099
21,0.000913,101
21,0.000913,103
21,0.000913,105
21,0.000913,107
21,0.000913,109
21,0.000913,111
21,0.000913,113
21,0.000913,115
21,0.000913,117
21,0.000913,119
21,0.000913,121
21,0.000913,123
21,0.000913,125
21,0.000913,127
21,0.000913,129
21,0.000913,131
21,0.000913,133
21,0.000913,135
21,0.000913,137
21,0.000913,139
21,0.000913,141
21,0.000913,143
21,0.000913,145
21,0.000913,147
21,0.000913,149
21,0.000913,151
21,0.000913,153
21,0.000913,155
21,0.000913,157
21,0.000913,159
21,0.000913,161
21,0.000913,163
21,0.000913,165
21,0.000913,167
21,0.000913,169
21,0.000913,171
21,0.000913,173
21,0.000913,175
21,0.000913,177
21,0.000913,179
21,0.000913,181
21,0.000913,183
21,0.000913,185
21,0.000913,187
21,0.000913,189
21,0.000913,191
21,0.000913,193
21,0.000913,195
21,0.000913,197
21,0.000913,199
21,0.000913,201
21,0.000913,203
21,0.000913,205
21,0.000913,207
21,0.000913,209
21,0.000913,211
21,0.000913,213
21,0.000913,215
21,0.000913,217
21,0.000913,219
21,0.000913,221
21,0.000913,223
21,0.000913,225
21,0.000913,227
21,0.000913,229
21,0.000913,231
21,0.000913,233
21,0.000913,235
21,0.000913,237
21,0.000913,239
22,0.000633,001
22,0.000633,003
22,0.000633,005
22,0.000633,007
22,0.000633,009
22,0.000633,011
22,0.000633,013
22,0.000633,015
22,0.000633,017
22,0.000633,019
22,0.000633,021
22,0.000633,023
22,0.000633,025
22,0.000633,027
22,0.000633,029
22,0.000633,031
22,0.000633,033
22,0.000633,035
22,0.000633,037
22,0.000633,039
22,0.000633,041
22,0.000633,043
22,0.000633,045
22,0.000633,047
22,0.000633,049
22,0.000633,051
22,0.000633,053
22,0.000633,055
22,0.000633,057
22,0.000633,059
22,0.000633,061
22,0.000633,063
22,0.000633,065
22,0.000633,067
22,0.000633,069
22,0.000633,071
22,0.000633,073
22,0.000633,075
22,0.000633,077
22,0.000633,079
22,0.000633,081
22,0.000633,083
22,0.000633,085
22,0.000633,087
22,0.000633,089
22,0.000633,091
22,0.000633,093
22,0.000633,095
22,0.000633,097
22,0.000633,099
22,0.000633,101
22,0.000633,103
22,0.000633,105
22,0.000633,107
22,0.000633,109
22,0.000633,111
22,0.000633,113
22,0.000633,115
22,0.000633,117
22,0.000633,119
22,0.000633,121
22,0.000633,123
22,0.000633,125
22,0.000633,127
25,0.00268,001
25,0.00268,003
25,0.00268,005
25,0.00268,007
25,0.00268,009
25,0.00268,011
25,0.00268,013
25,0.00268,015
25,0.00268,017
25,0.00268,019
25,0.00268,021
25,0.00268,023
25,0.00268,025
25,0.00268,027
24,0.001085,001
24,0.001085,003
24,0.001085,005
24,0.001085,009
24,0.001085,011
24,0.001085,013
24,0.001085,015
24,0.001085,017
24,0.001085,019
24,0.001085,021
24,0.001085,023
24,0.001085,025
24,0.001085,027
24,0.001085,029
24,0.001085,031
24,0.001085,033
24,0.001085,035
24,0.001085,037
24,0.001085,039
24,0.001085,041
24,0.001085,043
24,0.001085,045
24,0.001085,047
24,0.001085,510
23,0.001567,001
23,0.001567,003
23,0.001567,005
23,0.001567,007
23,0.001567,009
23,0.001567,011
23,0.001567,013
23,0.001567,015
23,0.001567,017
23,0.001567,019
23,0.001567,021
23,0.001567,023
23,0.001567,025
23,0.001567,027
23,0.001567,029
23,0.001567,031
26,0.000859,001
26,0.000859,003
26,0.000859,005
26,0.000859,007
26,0.000859,009
26,0.000859,011
26,0.000859,013
26,0.000859,015
26,0.000859,017
26,0.000859,019
26,0.000859,021
26,0.000859,023
26,0.000859,025
26,0.000859,027
26,0.000859,029
26,0.000859,031
26,0.000859,033
26,0.000859,035
26,0.000859,037
26,0.000859,039
26,0.000859,041
26,0.000859,043
26,0.000859,045
26,0.000859,047
26,0.000859,049
26,0.000859,051
26,0.000859,053
26,0.000859,055
26,0.000859,057
26,0.000859,059
26,0.000859,061
26,0.000859,063
26,0.000859,065
26,0.000859,067
26,0.000859,069
26,0.000859,071
26,0.000859,073
26,0.000859,075
26,0.000859,077
26,0.000859,079
26,0.000859,081
26,0.000859,083
26,0.000859,085
26,0.000859,087
26,0.000859,089
26,0.000859,091
26,0.000859,093
26,0.000859,095
26,0.000859,097
26,0.000859,099
26,0.000859,101
26,0.000859,103
26,0.000859,105
26,0.000859,107
26,0.000859,109
26,0.000859,111
26,0.000859,113
26,0.000859,115
26,0.000859,117
26,0.000859,119
26,0.000859,121
26,0.000859,123
26,0.000859,125
26,0.000859,127
26,0.000859,129
26,0.000859,131
26,0.000859,133
26,0.000859,135
26,0.000859,137
26,0.000859,139
26,0.000859,141
26,0.000859,143
26,0.000859,145
26,0.000859,147
26,0.000859,149
26,0.000859,151
26,0.000859,153
26,0.000859,155
26,0.000859,157
26,0.000859,159
26,0.000859,161
26,0.000859,163
26,0.000859,165
27,0.001414,001
27,0.001414,003
27,0.001414,005
27,0.001414,007
27,0.001414,009
27,0.001414,011
27,0.001414,013
27,0.001414,015
27,0.001414,017
27,0.001414,019
27,0.001414,021
27,0.001414,023
27,0.001414,025
27,0.001414,027
27,0.001414,029
27,0.001414,031
27,0.001414,033
27,0.001414,035
27,0.001414,037
27,0.001414,039
27,0.001414,041
27,0.001414,043
27,0.001414,045
27,0.001414,047
27,0.001414,049
27,0.001414,051
27,0.001414,053
27,0.001414,055
27,0.001414,057
27,0.001414,059
27,0.001414,061
27,0.001414,063
27,0.001414,065
27,0.001414,067
27,0.001414,069
27,0.001414,071
27,0.001414,073
27,0.001414,075
27,0.001414,077
27,0.001414,079
27,0.001414,081
27,0.001414,083
27,0.001414,085
27,0.001414,087
27,0.001414,089
27,0.001414,091
27,0.001414,093
27,0.001414,095
27,0.001414,097
27,0.001414,099
27,0.001414,101
27,0.001414,103
27,0.001414,105
27,0.001414,107
27,0.001414,109
27,0.001414,111
27,0.001414,113
27,0.001414,115
27,0.001414,117
27,0.001414,119
27,0.001414,121
27,0.001414,123
27,0.001414,125
27,0.001414,127
27,0.001414,129
27,0.001414,131
27,0.001414,133
27,0.001414,135
27,0.001414,137
27,0.001414,139
27,0.001414,141
27,0.001414,143
27,0.001414,145
27,0.001414,147
27,0.001414,149
27,0.001414,151
27,0.001414,153
27,0.001414,155
27,0.001414,157
27,0.001414,159
27,0.001414,161
27,0.001414,163
27,0.001414,165
27,0.001414,167
27,0.001414,169
27,0.001414,171
27,0.001414,173
29,0.001007,001
29,0.001007,003
29,0.001007,005
29,0.001007,007
29,0.001007,009
29,0.001007,011
29,0.001007,013
29,0.001007,015
29,0.001007,017
29,0.001007,019
29,0.001007,021
29,0.001007,023
29,0.001007,025
29,0.001007,027
29,0.001007,029
29,0.001007,031
29,0.001007,033
29,0.001007,035
29,0.001007,037
29,0.001007,039
29,0.001007,041
29,0.001007,043
29,0.001007,045
29,0.001007,047
29,0.001007,049
29,0.001007,051
29,0.001007,053
29,0.001007,055
29,0.001007,057
29,0.001007,059
29,0.001007,061
29,0.001007,063
29,0.001007,065
29,0.001007,067
29,0.001007,069
29,0.001007,071
29,0.001007,073
29,0.001007,075
29,0.001007,077
29,0.001007,079
29,0.001007,081
29,0.001007,083
29,0.001007,085
29,0.001007,087
29,0.001007,089
29,0.001007,091
29,0.001007,093
29,0.001007,095
29,0.001007,097
29,0.001007,099
29,0.001007,101
29,0.001007,103
29,0.001007,105
29,0.001007,107
29,0.001007,109
29,0.001007,111
29,0.001007,113
29,0.001007,115
29,0.001007,117
29,0.001007,119
29,0.001007,121
29,0.001007,123
29,0.001007,125
29,0.001007,127
29,0.001007,129
29,0.001007,131
29,0.001007,133
29,0.001007,135
29,0.001007,137
29,0.001007,139
29,0.001007,141
29,0.001007,143
29,0.001007,145
29,0.001007,147
29,0.001007,149
29,0.001007,151
29,0.001007,153
29,0.001007,155
29,0.001007,157
29,0.001007,159
29,0.001007,161
29,0.001007,163
29,0.001007,165
29,0.001007,167
29,0.001007,169
29,0.001007,171
29,0.001007,173
29,0.001007,175
29,0.001007,177
29,0.001007,179
29,0.001007,181
29,0.001007,183
29,0.001007,185
29,0.001007,186
29,0.001007,187
29,0.001007,189
29,0.001007,195
29,0.001007,197
29,0.001007,199
29,0.001007,201
29,0.001007,203
29,0.001007,205
29,0.001007,207
29,0.001007,209
29,0.001007,211
29,0.001007,213
29,0.001007,215
29,0.001007,217
29,0.001007,219
29,0.001007,221
29,0.001007,223
29,0.001007,225
29,0.001007,227
29,0.001007,229
29,0.001007,510
28,0.000398,001
28,0.000398,003
28,0.000398,005
28,0.000398,007
28,0.000398,009
28,0.000398,011
28,0.000398,013
28,0.000398,015
28,0.000398,017
28,0.000398,019
28,0.000398,021
28,0.000398,023
28,0.000398,025
28,0.000398,027
28,0.000398,029
28,0.000398,031
28,0.000398,033
28,0.000398,035
28,0.000398,037
28,0.000398,039
28,0.000398,041
28,0.000398,043
28,0.000398,045
28,0.000398,047
28,0.000398,049
28,0.000398,051
28,0.000398,053
28,0.000398,055
28,0.000398,057
28,0.000398,059
28,0.000398,061
