,AllIndustries,AgricultureForestryFishingAndHunting,MiningQuarryingAndOilAndGasExtraction,Construction,HealthCareAndSocialAssistance,STATEFP,COUNTYFP
2793,754,7.82,4.51,7.03,11.01,49,033
2794,590125,0.28,0.7,6.93,11.72,49,035
2795,5694,4.3,3.28,10.29,16.74,49,037
2796,11855,4.19,3.53,8.22,11.73,49,039
2797,9059,3.4,5.3,7.19,10.67,49,041
2798,22839,1.28,0.26,7.54,8.93,49,043
2799,31073,0.6,1.54,7.53,7.84,49,045
2800,14911,1.7,16.28,5.94,9.48,49,047
2801,280920,0.5,0.34,7.14,10.59,49,049
2802,15771,0.92,0.58,8.79,9.02,49,051
2803,68915,0.5,0.54,9.55,13.98,49,053
2804,1174,8.52,0.51,14.74,8.6,49,055
2805,122290,0.5,0.5,7.9,11.37,49,057
2806,20170,5.03,0.14,9.03,13.33,50,001
2807,17366,2.34,0.02,6.81,16.22,50,003
2808,14815,3.39,0.13,7.95,17.87,50,005
2809,92058,0.88,0.04,4.93,15.83,50,007
2810,2798,3.82,0.25,9.51,16.98,50,009
2811,25562,3.91,0.11,6.84,13.06,50,011
2812,3664,3.68,0.9,9.03,13.7,50,013
2813,13821,1.87,0.09,9.26,14.56,50,015
2814,15483,4.51,0.28,9.18,17.24,50,017
2815,12629,4.63,0.1,10.12,13.85,50,019
2816,29858,2.0,0.77,7.87,16.69,50,021
2817,31131,1.84,0.35,7.23,14.85,50,023
2818,21840,2.02,0.06,8.6,16.38,50,025
2819,27833,2.32,0.11,6.54,17.18,50,027
2820,13681,6.93,0.1,7.98,11.46,51,001
2821,52965,1.36,0.09,5.65,17.02,51,003
2822,5865,2.34,0.0,8.06,15.53,51,005
2823,6362,2.85,0.0,13.78,12.53,51,007
2824,14485,0.7,0.2,8.4,13.37,51,009
2825,7230,2.85,0.36,6.89,15.34,51,011
2826,146900,0.18,0.0,4.2,6.67,51,013
2827,35140,2.29,0.09,7.78,15.69,51,015
2828,1955,3.79,0.0,6.24,15.5,51,017
2829,36986,0.81,0.21,6.47,13.98,51,019
2830,2305,0.52,0.3,2.6,16.49,51,021
2831,16083,1.34,0.25,6.36,14.13,51,023
2832,6025,3.44,0.25,6.29,17.53,51,025
2833,6405,1.03,11.01,7.43,14.6,51,027
2834,6692,2.26,1.34,8.59,20.04,51,029
2835,26429,1.65,0.22,7.9,14.68,51,031
2836,13834,0.47,0.77,8.05,11.42,51,033
2837,12997,3.04,0.65,9.3,15.43,51,035
2838,3359,2.32,0.06,6.97,9.74,51,036
2839,5048,4.97,0.14,7.43,16.84,51,037
2840,175948,0.16,0.12,7.24,14.42,51,041
2841,7193,2.04,0.08,11.5,13.43,51,043
2842,2415,3.52,0.83,7.91,13.83,51,045
2843,24567,2.45,0.21,8.99,12.99,51,047
2844,4878,0.78,0.0,16.03,12.03,51,049
2845,4352,0.0,8.3,5.51,14.27,51,051
2846,13745,0.97,0.17,9.2,13.53,51,053
2847,5121,1.82,0.0,9.16,11.38,51,057
2848,613908,0.11,0.05,5.72,9.71,51,059
2849,36040,2.21,0.16,10.82,9.92,51,061
2850,7317,4.09,0.26,9.8,16.39,51,063
2851,12651,1.34,0.35,8.77,20.03,51,065
2852,24928,2.83,0.07,7.79,12.91,51,067
2853,43083,1.42,0.21,9.54,13.35,51,069
2854,7483,0.83,0.72,6.44,13.22,51,071
2855,17786,1.82,0.25,8.07,12.26,51,073
2856,11064,0.77,1.24,9.22,15.08,51,075
2857,6444,5.29,0.08,4.75,16.7,51,077
2858,10035,0.45,0.08,9.93,15.33,51,079
2859,3899,2.95,0.67,2.8,16.82,51,081
2860,14561,1.72,0.25,6.5,14.93,51,083
2861,55625,0.89,0.17,8.78,11.98,51,085
2862,173089,0.19,0.12,5.09,14.96,51,087
2863,19967,0.42,0.14,6.45,14.58,51,089
2864,874,7.32,0.0,8.35,13.73,51,091
2865,17799,1.54,0.03,7.16,11.55,51,093
2866,33950,0.27,0.05,5.34,13.08,51,095
2867,3220,5.34,0.0,11.86,13.88,51,097
2868,13065,0.97,0.0,8.03,9.77,51,099
2869,8277,1.41,0.24,12.15,13.31,51,101
2870,4267,1.45,0.21,7.31,15.56,51,103
2871,7860,0.88,2.99,7.49,16.63,51,105
2872,214991,0.5,0.04,5.12,8.23,51,107
2873,16553,2.24,0.19,10.06,15.63,51,109
2874,4632,6.93,0.32,9.05,13.04,51,111
2875,6204,2.74,0.0,7.72,10.38,51,113
2876,3581,0.0,0.0,16.11,11.87,51,115
2877,12145,2.05,0.84,7.69,14.0,51,117
2878,4394,2.53,0.0,8.1,8.78,51,119
2879,45828,0.69,0.09,4.66,10.05,51,121
2880,6898,4.1,0.0,9.22,13.84,51,125
2881,10933,0.48,0.0,13.32,12.06,51,127
2882,4891,5.19,0.0,7.85,18.61,51,131
2883,4781,1.8,0.0,11.04,17.63,51,133
2884,5783,6.26,0.31,8.85,16.08,51,135
2885,17007,2.19,0.48,12.11,13.42,51,137
2886,10882,3.11,0.0,8.05,11.98,51,139
2887,7438,1.79,0.34,7.81,13.43,51,141
2888,27414,2.55,0.03,7.25,13.92,51,143
2889,13311,0.89,0.23,13.54,13.33,51,145
2890,8687,2.19,0.75,4.85,15.17,51,147
2891,15152,0.48,0.03,4.14,12.57,51,149
2892,237220,0.17,0.01,8.92,10.2,51,153
2893,15539,1.42,0.31,6.9,12.44,51,155
2894,3602,3.91,0.0,14.99,10.33,51,157
2895,3285,1.4,0.0,9.83,16.04,51,159
2896,45744,0.27,0.11,5.12,18.19,51,161
2897,9926,2.56,0.0,8.18,12.75,51,163
2898,39423,4.89,0.32,8.03,12.35,51,165
2899,9296,1.68,4.78,6.29,15.33,51,167
2900,8342,1.49,0.8,10.69,18.69,51,169
2901,20580,2.38,0.79,9.59,12.35,51,171
2902,12487,1.31,0.09,5.93,16.82,51,173
2903,7617,4.83,0.0,7.43,15.11,51,175
2904,66122,0.62,0.08,7.94,10.21,51,177
2905,72033,0.16,0.11,7.07,11.17,51,179
2906,3151,1.3,0.0,5.97,13.61,51,181
2907,4151,1.54,0.29,7.97,11.49,51,183
2908,15160,1.5,4.9,6.14,17.86,51,185
2909,19513,0.95,0.0,12.14,10.31,51,187
2910,23678,1.07,0.82,5.74,16.92,51,191
2911,7677,2.37,0.0,12.37,7.15,51,193
2912,12942,0.5,5.96,3.38,15.48,51,195
2913,13340,2.76,0.37,4.54,14.02,51,197
2914,30556,0.33,0.07,5.0,12.62,51,199
2915,96960,0.11,0.02,5.22,8.77,51,510
2916,6966,0.27,0.32,5.79,14.27,51,520
2917,2819,1.7,1.74,5.43,11.67,51,530
2918,24865,0.56,0.0,3.58,16.33,51,540
2919,111227,0.18,0.06,6.67,13.9,51,550
2920,7768,0.13,0.23,5.12,12.37,51,570
2921,2554,0.0,0.0,7.05,15.58,51,580
2922,16463,0.18,0.15,5.47,19.75,51,590
2923,1895,1.21,0.0,9.39,12.56,51,595
2924,12705,0.04,0.06,6.07,10.48,51,600
2925,7883,0.0,0.0,2.26,9.17,51,610
2926,3460,0.0,0.0,0.9,20.78,51,620
2927,15717,0.5,0.0,5.68,12.27,51,630
2928,2631,0.0,0.8,6.61,18.74,51,640
2929,61782,0.41,0.07,6.33,12.56,51,650
2930,25772,1.51,0.12,5.2,10.55,51,660
2931,9515,0.0,0.12,7.26,10.15,51,670
2932,2520,0.52,0.0,4.6,9.25,51,678
2933,36762,0.41,0.0,4.5,16.28,51,680
2934,21799,0.04,0.03,16.2,8.67,51,683
2935,9340,1.23,0.17,14.94,10.77,51,685
2936,5144,0.27,0.0,2.97,16.82,51,690
2937,81407,0.18,0.1,5.54,14.09,51,700
2938,104945,0.11,0.02,6.98,13.13,51,710
2939,1607,1.37,2.55,1.68,17.61,51,720
2940,13140,0.26,0.0,4.51,17.95,51,730
2941,5757,1.2,0.0,7.94,10.13,51,735
2942,41396,0.29,0.15,6.91,15.63,51,740
2943,8288,0.47,0.0,3.78,10.96,51,750
2944,116615,0.16,0.05,5.45,14.09,51,760
2945,47605,0.22,0.17,5.1,17.38,51,770
2946,12277,0.12,0.25,5.9,16.89,51,775
2947,12102,0.43,0.1,4.62,14.83,51,790
2948,42459,0.59,0.03,5.52,15.57,51,800
2949,221998,0.19,0.08,6.51,13.15,51,810
2950,10362,0.57,0.0,5.51,15.06,51,820
2951,6394,0.06,0.0,2.5,9.57,51,830
2952,14073,2.33,0.08,6.53,13.34,51,840
2953,7719,30.54,0.03,4.16,10.09,53,001
2954,9708,2.43,0.28,7.87,18.25,53,003
2955,88737,4.16,0.16,9.1,12.42,53,005
2956,35694,11.98,0.18,6.62,14.12,53,007
2957,28673,3.97,0.32,7.94,17.32,53,009
2958,227108,0.59,0.06,9.0,14.18,53,011
2959,1737,5.47,0.0,13.47,14.34,53,013
2960,44679,2.2,0.14,7.6,14.71,53,015
2961,19378,17.12,0.1,7.21,12.68,53,017
2962,2599,9.31,2.54,7.04,12.85,53,019
2963,40135,15.43,0.08,6.96,10.27,53,021
2964,889,19.35,0.0,5.74,10.8,53,023
2965,40662,25.12,0.12,3.8,9.81,53,025
2966,28323,4.25,0.12,7.44,14.03,53,027
2967,32421,1.37,0.22,7.17,13.36,53,029
2968,11607,2.84,0.29,8.31,12.86,53,031
2969,1206334,0.44,0.02,5.11,11.82,53,033
2970,115237,0.51,0.08,6.76,13.8,53,035
2971,22372,4.45,0.11,7.91,10.26,53,037
2972,8561,11.03,0.0,7.93,13.4,53,039
2973,31386,4.95,0.61,7.79,13.21,53,041
2974,4206,17.21,0.26,10.29,13.5,53,043
2975,24994,6.2,0.14,7.35,11.87,53,045
2976,17334,14.47,0.36,8.37,15.62,53,047
2977,7421,10.5,0.36,5.69,13.69,53,049
2978,4743,3.08,1.9,9.76,12.02,53,051
2979,409724,0.67,0.06,8.2,14.49,53,053
2980,7765,2.63,0.12,13.19,7.91,53,055
2981,56470,4.49,0.16,9.52,13.95,53,057
2982,5366,3.45,0.28,10.66,10.94,53,059
2983,409889,0.61,0.04,8.45,12.53,53,061
2984,232708,1.02,0.25,6.19,17.46,53,063
2985,16739,4.76,0.7,9.2,15.05,53,065
2986,128801,2.03,0.09,7.02,13.18,53,067
2987,1313,8.0,0.0,12.72,12.64,53,069
2988,26646,7.78,0.09,5.41,16.99,53,071
2989,107180,2.36,0.16,7.32,12.69,53,073
2990,23003,4.88,0.05,3.72,8.06,53,075
2991,106018,16.43,0.05,5.44,13.31,53,077
2992,6631,1.1,5.46,7.31,18.72,54,001
2993,55876,0.67,0.33,6.68,12.89,54,003
2994,6527,0.0,13.87,4.31,18.75,54,005
2995,5221,1.28,4.96,8.47,13.48,54,007
2996,10066,0.09,2.55,6.45,15.58,54,009
2997,38148,0.19,0.48,3.8,23.15,54,011
2998,2115,1.32,10.26,8.89,19.91,54,013
2999,2559,4.53,5.16,8.75,18.87,54,015
3000,3072,0.55,8.2,9.86,19.14,54,017
3001,15411,0.53,4.74,6.66,16.01,54,019
3002,2704,0.26,7.14,8.25,11.46,54,021
3003,4939,1.8,1.62,9.15,15.89,54,023
3004,13906,2.09,1.42,7.32,21.01,54,025
3005,9327,3.4,0.89,13.03,12.86,54,027
3006,13142,1.33,1.63,3.97,14.21,54,029
3007,6367,5.03,0.88,8.76,13.43,54,031
3008,30358,0.19,4.21,6.31,18.68,54,033
3009,11092,0.62,2.78,7.49,13.54,54,035
3010,27683,0.7,0.6,8.84,10.97,54,037
3011,78433,0.16,1.31,5.13,20.17,54,039
3012,6178,0.39,9.76,7.82,18.16,54,041
3013,7145,0.25,4.11,7.63,18.8,54,043
3014,9827,0.56,11.4,4.25,20.97,54,045
3015,3782,0.4,15.07,3.41,16.23,54,047
3016,24737,0.35,4.71,7.17,18.77,54,049
3017,12758,0.17,5.78,7.7,19.44,54,051
3018,10057,0.98,0.78,5.59,21.01,54,053
3019,22130,0.72,2.21,3.95,20.27,54,055
3020,11596,0.98,0.85,7.17,19.98,54,057
3021,7100,2.1,12.39,5.23,22.14,54,059
3022,51107,0.2,2.38,4.03,18.75,54,061
3023,5062,6.2,1.44,10.9,14.32,54,063
3024,7914,0.8,2.01,10.25,16.33,54,065
3025,9550,1.41,4.37,9.75,16.77,54,067
3026,19424,0.11,2.87,4.96,18.36,54,069
3027,2942,6.9,0.17,13.87,16.45,54,071
3028,3003,0.1,6.39,4.96,13.75,54,073
3029,3355,5.07,0.57,6.68,14.22,54,075
3030,13301,1.1,5.35,10.31,18.22,54,077
3031,25385,0.06,0.6,7.57,17.66,54,079
3032,28557,0.44,6.26,4.91,20.68,54,081
3033,11292,1.27,3.35,9.76,18.34,54,083
3034,3541,0.82,8.22,8.3,6.78,54,085
3035,4584,1.48,3.6,13.05,20.44,54,087
3036,4279,0.56,0.65,10.17,17.62,54,089
3037,6718,0.63,3.56,7.73,19.69,54,091
3038,3064,3.39,4.7,11.59,17.79,54,093
3039,3127,0.64,9.18,6.75,18.93,54,095
3040,9959,1.59,6.42,7.73,20.33,54,097
3041,13322,0.0,1.19,4.36,21.39,54,099
3042,2943,6.69,7.31,9.48,22.22,54,101
3043,5518,0.25,5.69,8.75,15.19,54,103
3044,2228,0.85,2.56,5.88,16.79,54,105
3045,35794,0.29,1.36,5.92,18.58,54,107
3046,6054,0.15,17.18,2.84,19.31,54,109
3047,7772,4.54,0.03,7.94,10.58,55,001
3048,7242,3.52,0.12,7.22,14.69,55,003
3049,22117,5.13,0.73,7.11,15.16,55,005
3050,7015,4.02,0.17,9.64,15.0,55,007
3051,139043,1.2,0.03,5.76,13.33,55,009
3052,6841,8.93,0.34,7.38,15.99,55,011
3053,6708,2.8,0.34,9.15,16.26,55,013
3054,27630,2.09,0.17,5.9,12.46,55,015
3055,31847,3.37,0.4,7.06,15.71,55,017
3056,16043,12.6,0.55,7.57,14.36,55,019
3057,30469,3.18,0.2,8.42,13.11,55,021
3058,7412,6.3,1.03,6.64,12.64,55,023
3059,308106,1.06,0.02,4.54,14.88,55,025
3060,45274,3.82,0.09,7.6,13.13,55,027
3061,13759,2.43,0.04,8.05,12.33,55,029
3062,21918,1.41,0.36,5.68,19.65,55,031
3063,23564,4.18,0.4,6.23,12.37,55,033
3064,56366,1.11,0.4,4.27,17.71,55,035
3065,1931,4.3,0.16,11.65,21.08,55,037
3066,53973,2.51,0.41,7.49,14.24,55,039
3067,3701,5.76,0.0,7.46,12.38,55,041
3068,26132,8.12,0.2,6.68,11.35,55,043
3069,20448,5.35,0.05,7.94,14.74,55,045
3070,8975,5.82,0.96,6.81,10.94,55,047
3071,12594,7.57,0.06,9.13,13.7,55,049
3072,2511,3.11,0.04,9.56,16.69,55,051
3073,9386,8.92,2.46,6.66,13.51,55,053
3074,46211,2.82,0.2,7.5,15.9,55,055
3075,12181,4.3,0.23,6.55,15.25,55,057
3076,85094,0.82,0.1,5.59,13.6,55,059
3077,10699,7.55,0.0,7.9,13.31,55,061
3078,62533,0.88,0.21,4.16,19.55,55,063
3079,8565,14.02,0.07,7.33,10.54,55,065
3080,8779,8.26,0.03,7.21,12.51,55,067
3081,14131,2.65,0.04,7.0,14.68,55,069
3082,40604,3.81,0.22,5.69,13.81,55,071
3083,71727,3.36,0.16,4.87,16.45,55,073
3084,18689,3.41,0.22,6.56,15.15,55,075
3085,6967,4.35,0.34,7.97,11.96,55,077
3086,1518,6.65,0.0,3.1,22.07,55,078
3087,459843,0.39,0.03,4.05,17.11,55,079
3088,21703,4.87,1.19,6.83,15.82,55,081
3089,19070,4.32,0.14,8.52,12.44,55,083
3090,16612,1.67,0.34,7.27,16.43,55,085
3091,100360,1.26,0.04,7.81,12.58,55,087
3092,47213,0.99,0.03,4.06,14.7,55,089
3093,3710,7.84,0.57,10.0,17.84,55,091
3094,23433,4.58,0.35,7.65,12.09,55,093
3095,21516,3.36,0.2,8.21,15.85,55,095
3096,37794,3.22,0.05,4.65,12.4,55,097
3097,6438,6.04,0.34,6.43,10.56,55,099
3098,94772,0.84,0.07,6.1,14.47,55,101
3099,8295,6.82,0.18,6.92,15.25,55,103
3100,79931,1.51,0.11,6.36,14.3,55,105
3101,6441,6.69,0.95,7.42,13.23,55,107
3102,48941,1.8,0.11,7.47,13.18,55,109
3103,34130,3.35,0.26,6.8,13.44,55,111
3104,7380,4.38,0.08,6.69,12.13,55,113
3105,20016,7.09,0.28,6.44,14.35,55,115
3106,59602,1.68,0.17,5.1,12.44,55,117
3107,10262,8.45,0.24,7.4,11.72,55,119
3108,15036,5.57,1.22,6.36,13.16,55,121
3109,13687,7.23,0.34,8.18,17.86,55,123
3110,9363,1.64,0.0,10.05,11.62,55,125
3111,53782,2.07,0.12,7.99,11.84,55,127
3112,7023,3.66,0.19,8.33,15.68,55,129
3113,73819,1.07,0.16,6.38,14.53,55,131
3114,214839,0.28,0.13,5.59,14.75,55,133
3115,26301,3.69,0.04,5.67,14.62,55,135
3116,10617,6.13,0.23,7.43,13.45,55,137
3117,87992,0.8,0.01,4.27,14.27,55,139
3118,35963,3.66,0.25,6.23,20.18,55,141
3119,21328,2.17,1.08,6.18,12.36,56,001
3120,5081,8.44,7.2,10.35,11.57,56,003
3121,24571,2.08,23.01,9.9,9.6,56,005
3122,7286,7.1,7.55,7.74,9.22,56,007
3123,6643,8.52,16.71,7.44,8.87,56,009
3124,3455,9.41,16.12,11.23,4.57,56,011
3125,18294,4.43,5.85,7.17,14.33,56,013
3126,6014,9.86,0.27,5.85,14.88,56,015
3127,2217,8.43,8.62,6.68,18.36,56,017
3128,4220,7.68,7.01,10.19,17.54,56,019
3129,47158,1.62,1.98,7.26,14.48,56,021
3130,9189,1.94,7.78,16.84,13.22,56,023
3131,41101,1.14,7.5,7.66,14.71,56,025
3132,924,19.59,3.35,7.03,6.49,56,027
3133,13922,3.93,5.76,9.47,16.11,56,029
3134,4464,12.95,2.22,9.23,13.19,56,031
3135,15193,4.32,3.69,8.86,17.34,56,033
3136,5234,10.72,17.27,6.32,7.28,56,035
3137,21487,0.35,14.13,6.3,10.55,56,037
3138,14430,2.76,0.95,9.38,10.01,56,039
3139,9294,1.81,10.89,8.65,15.2,56,041
3140,3777,6.14,4.08,8.08,10.99,56,043
3141,3221,6.21,18.81,4.97,8.13,56,045
3142,3856,7.75,0.0,6.41,16.65,72,001
3143,11250,0.28,0.0,9.11,9.93,72,003
3144,13746,0.5,0.0,4.53,9.3,72,005
3145,7936,0.91,0.0,9.11,15.21,72,007
3146,6970,3.37,0.0,5.24,12.57,72,009
3147,8429,2.04,0.0,6.42,7.36,72,011
3148,23050,1.46,0.05,4.28,13.86,72,013
3149,3527,1.05,0.0,3.15,21.83,72,015
3150,6495,0.8,0.0,5.94,17.78,72,017
3151,6938,1.35,0.0,10.35,14.66,72,019
3152,65080,0.26,0.07,4.32,12.47,72,021
3153,12677,1.45,0.0,5.03,11.15,72,023
3154,46005,0.31,0.04,3.9,13.68,72,025
3155,8762,3.81,0.0,7.21,12.38,72,027
3156,14554,1.23,0.08,5.55,12.02,72,029
3157,58500,0.15,0.0,3.78,10.53,72,031
3158,7628,0.46,0.0,5.93,10.72,72,033
3159,13328,1.2,0.22,6.23,15.65,72,035
3160,3459,1.91,0.0,4.13,11.3,72,037
3161,3701,1.32,0.81,4.19,10.56,72,039
3162,11953,1.19,0.0,5.53,13.94,72,041
3163,11577,5.29,0.0,4.4,12.17,72,043
3164,4877,1.95,0.0,5.8,14.5,72,045
3165,7933,2.23,0.0,6.09,13.98,72,047
3166,591,1.02,0.0,8.12,11.17,72,049
3167,12024,0.39,0.0,5.54,13.82,72,051
3168,10052,1.26,0.0,4.24,10.91,72,053
3169,3465,1.39,0.0,0.95,11.14,72,054
3170,3272,0.98,0.0,1.68,16.87,72,055
3171,9851,2.73,0.0,4.45,10.05,72,057
3172,4762,3.17,0.0,5.19,16.23,72,059
3173,35336,0.23,0.24,4.1,11.86,72,061
3174,18043,1.55,0.0,6.09,15.33,72,063
3175,12538,4.25,0.0,5.96,12.96,72,065
3176,4909,1.36,0.0,3.32,14.32,72,067
3177,15158,1.19,0.11,7.1,13.02,72,069
3178,10584,0.92,0.0,5.71,14.81,72,071
3179,3219,4.26,0.0,1.4,5.72,72,073
3180,14463,4.37,0.4,6.21,14.61,72,075
3181,11980,1.38,0.14,7.81,12.72,72,077
3182,4873,3.57,0.0,2.52,12.44,72,079
3183,6608,7.73,0.0,6.36,14.89,72,081
3184,2170,7.37,0.0,3.41,19.91,72,083
3185,10708,0.88,0.0,6.96,8.79,72,085
3186,7764,0.08,0.0,5.51,16.25,72,087
3187,5522,0.27,0.0,5.14,9.65,72,089
3188,10623,1.65,0.0,5.61,16.85,72,091
3189,1200,23.92,0.0,5.42,12.33,72,093
3190,2095,0.67,0.0,7.68,16.09,72,095
3191,18307,0.39,0.0,3.88,15.01,72,097
3192,9584,2.8,0.0,7.13,9.73,72,099
3193,8757,1.58,0.0,10.41,17.68,72,101
3194,7124,2.32,0.0,8.87,8.58,72,103
3195,7216,2.23,0.0,5.63,10.38,72,105
3196,4737,4.07,0.0,10.24,11.82,72,107
3197,4093,2.88,0.0,6.89,6.13,72,109
3198,5133,1.07,0.0,10.13,17.24,72,111
3199,37760,0.99,0.04,4.34,14.45,72,113
3200,6969,0.95,0.0,9.74,8.67,72,115
3201,4654,1.85,0.0,6.96,13.67,72,117
3202,16901,0.95,0.0,7.98,11.26,72,119
3203,6407,2.95,0.0,3.11,14.41,72,121
3204,7928,5.97,0.0,5.44,10.58,72,123
3205,7749,3.19,0.26,3.19,14.78,72,125
3206,123077,0.28,0.0,5.76,12.69,72,127
3207,11034,1.47,0.23,7.38,10.45,72,129
3208,9087,4.26,0.0,6.14,14.23,72,131
3209,7994,6.63,0.0,7.11,11.67,72,133
3210,27537,0.47,0.0,4.64,13.42,72,135
3211,27634,0.14,0.0,4.74,10.47,72,137
3212,27259,0.14,0.0,5.47,13.44,72,139
3213,6220,3.7,0.0,7.2,10.58,72,141
3214,10207,0.2,0.0,6.02,16.9,72,143
3215,14915,0.92,0.12,5.79,14.05,72,145
3216,2467,0.57,0.0,15.85,8.15,72,147
3217,6579,3.07,0.0,6.29,12.14,72,149
3218,8611,0.67,0.0,4.31,11.0,72,151
3219,8532,4.23,0.11,4.07,13.8,72,153
