,B24031_001E,B24031_002E,B24031_003E,B24031_004E,B24031_005E,B24031_006E,B24031_007E,B24031_008E,B24031_009E,B24031_010E,B24031_011E,B24031_012E,B24031_013E,B24031_014E,B24031_015E,B24031_016E,B24031_017E,B24031_018E,B24031_019E,B24031_020E,B24031_021E,B24031_022E,B24031_023E,B24031_024E,B24031_025E,B24031_026E,B24031_027E,state,county
976,38175.0,50262.0,26842.0,68801.0,41733.0,48930.0,49893.0,24186.0,47010.0,42932.0,68462.0,42020.0,45659.0,46735.0,40838.0,49103.0,64806.0,57061.0,26280.0,31676.0,30521.0,32239.0,9355.0,6951.0,10410.0,27659.0,58919.0,49,011
977,30595.0,24722.0,24722.0,-666666666.0,37161.0,40883.0,26761.0,22911.0,40339.0,37018.0,44250.0,63056.0,37792.0,39208.0,33409.0,28031.0,36571.0,-666666666.0,20344.0,30285.0,38063.0,25802.0,13927.0,14246.0,13226.0,22813.0,40685.0,51,139
978,60079.0,61923.0,17337.0,-666666666.0,32649.0,66047.0,69464.0,29761.0,36869.0,36262.0,67500.0,72635.0,80050.0,96753.0,68722.0,82644.0,92678.0,86316.0,30625.0,49569.0,59261.0,40604.0,26049.0,42151.0,24283.0,51300.0,102884.0,51,510
979,33773.0,31618.0,31422.0,56818.0,35710.0,52581.0,36026.0,17432.0,42850.0,40239.0,67917.0,37750.0,37500.0,37560.0,37292.0,39733.0,55434.0,30167.0,25150.0,32050.0,35031.0,31460.0,11900.0,11224.0,12103.0,25702.0,48329.0,51,650
980,73391.0,54008.0,53710.0,-666666666.0,42601.0,84915.0,82903.0,30498.0,41787.0,37286.0,106000.0,88777.0,89271.0,95951.0,79021.0,86096.0,92198.0,72656.0,47997.0,54934.0,55151.0,54557.0,30481.0,42616.0,26222.0,58381.0,107295.0,51,013
981,31547.0,41318.0,43542.0,41149.0,37366.0,52292.0,40556.0,18443.0,45192.0,41719.0,73438.0,23828.0,34167.0,32917.0,-666666666.0,17151.0,40333.0,-666666666.0,15756.0,32222.0,35250.0,30972.0,12989.0,2499.0,13315.0,29808.0,37500.0,51,027
982,25109.0,34545.0,52788.0,-666666666.0,18839.0,20938.0,25455.0,25393.0,33523.0,-666666666.0,-666666666.0,-666666666.0,22279.0,-666666666.0,22132.0,22552.0,18523.0,-666666666.0,23229.0,26208.0,25581.0,26782.0,12188.0,21136.0,7471.0,14356.0,33250.0,46,102
983,27633.0,31023.0,31023.0,-666666666.0,26094.0,-666666666.0,14028.0,14896.0,37000.0,33750.0,46667.0,35000.0,27885.0,32500.0,25625.0,21801.0,22300.0,-666666666.0,20417.0,30214.0,29042.0,31823.0,19432.0,25000.0,14766.0,12321.0,31380.0,46,121
984,29620.0,21907.0,21651.0,48750.0,35318.0,32289.0,29318.0,24931.0,31792.0,30867.0,71023.0,15040.0,35795.0,37544.0,19417.0,27213.0,27287.0,-666666666.0,27121.0,28510.0,33424.0,26295.0,11578.0,5263.0,11962.0,17943.0,33125.0,28,115
985,25740.0,15074.0,14792.0,-666666666.0,31481.0,26486.0,40208.0,15489.0,44688.0,50625.0,-666666666.0,21932.0,28594.0,28281.0,40625.0,14894.0,22232.0,-666666666.0,13298.0,31818.0,32781.0,31036.0,11821.0,19583.0,10380.0,24886.0,27070.0,28,051
986,29439.0,45455.0,16992.0,64063.0,30391.0,54560.0,53125.0,8370.0,16500.0,14958.0,95625.0,74250.0,38661.0,39732.0,-666666666.0,14500.0,31957.0,-666666666.0,2499.0,21659.0,21889.0,21507.0,30065.0,22621.0,30596.0,21078.0,22112.0,28,005
987,41854.0,61406.0,30385.0,67163.0,41563.0,45095.0,55909.0,30612.0,56590.0,48821.0,90694.0,54361.0,51607.0,52908.0,42430.0,46777.0,64194.0,-666666666.0,25892.0,42810.0,40066.0,46539.0,16028.0,18910.0,15847.0,30818.0,52500.0,28,089
988,30563.0,28056.0,24946.0,100417.0,26250.0,31979.0,32300.0,21705.0,45927.0,32237.0,47361.0,48229.0,37143.0,43347.0,30893.0,25139.0,70893.0,-666666666.0,4931.0,31511.0,30907.0,32281.0,7177.0,2788.0,9844.0,35114.0,29286.0,28,013
989,25758.0,41723.0,26181.0,54896.0,25958.0,24068.0,28750.0,17243.0,46331.0,45128.0,72935.0,51034.0,27996.0,28948.0,15278.0,25673.0,52643.0,-666666666.0,11708.0,24767.0,25712.0,23576.0,11908.0,-666666666.0,11630.0,27500.0,30521.0,28,091
990,27621.0,45481.0,43750.0,-666666666.0,30513.0,33331.0,20139.0,21810.0,36038.0,36365.0,31815.0,16531.0,23426.0,23287.0,-666666666.0,18271.0,46875.0,-666666666.0,14688.0,33824.0,38590.0,31132.0,7137.0,17316.0,5697.0,25951.0,41763.0,28,141
