population_2019,STATEFP,COUNTYFP
76891.0,12,015
6504.0,12,029
64528.0,12,085
182842.0,12,115
145356.0,12,081
63681.0,12,017
8693.0,12,003
63514.0,12,113
113658.0,12,073
690050.0,12,011
32068.0,12,087
75348.0,12,053
526175.0,12,057
7405.0,12,123
11200.0,12,129
8153.0,13,189
6942.0,13,211
4502.0,13,149
34087.0,13,095
10408.0,13,111
57056.0,13,153
17142.0,13,175
24336.0,13,255
4668.0,13,271
3357.0,18,171
6664.0,18,165
10888.0,18,179
145065.0,18,003
10353.0,18,031
46026.0,18,035
29189.0,18,043
12632.0,18,077
10792.0,18,079
56628.0,18,081
13611.0,18,103
26034.0,18,109
13340.0,18,051
5573.0,18,111
7898.0,18,117
101872.0,18,141
30997.0,18,085
17304.0,18,099
4349.0,18,155
75607.0,18,163
5235.0,18,009
8971.0,18,143
55624.0,18,105
71718.0,18,039
3835.0,18,025
14688.0,18,017
372358.0,18,097
26644.0,18,177
6254.0,19,023
2945.0,19,071
6259.0,19,079
2616.0,19,173
5176.0,19,175
3172.0,19,195
3200.0,19,001
5173.0,19,037
3895.0,19,039
8174.0,19,059
59134.0,19,103
4394.0,19,107
6767.0,19,171
14481.0,19,179
4192.0,19,069
8726.0,19,027
7391.0,19,031
6903.0,19,067
3971.0,19,073
4335.0,19,115
4548.0,19,119
9743.0,13,291
13636.0,37,017
29755.0,37,031
7909.0,37,015
9378.0,37,117
5936.0,37,143
37388.0,37,157
3933.0,37,029
83735.0,37,071
39821.0,37,125
23332.0,37,167
7510.0,37,199
29033.0,37,037
68968.0,37,101
15896.0,37,145
11938.0,37,009
23148.0,37,107
64386.0,37,133
26683.0,37,161
15425.0,37,197
35156.0,37,023
3383.0,38,097
28277.0,38,101
3158.0,38,067
75843.0,38,017
6777.0,38,077
3709.0,38,057
2371.0,38,073
9045.0,39,105
15159.0,39,021
65604.0,39,057
23221.0,39,087
6108.0,39,115
9081.0,39,175
31183.0,39,043
18677.0,39,091
224726.0,39,153
3582.0,16,059
8876.0,16,075
3418.0,16,009
17537.0,16,017
10606.0,16,039
4347.0,16,043
11016.0,16,065
5466.0,16,079
6407.0,16,049
3707.0,16,081
2633.0,16,077
4035.0,16,087
7409.0,17,067
107659.0,17,119
19676.0,17,063
39796.0,17,091
6516.0,17,131
342791.0,17,043
2154.0,17,003
5188.0,17,129
45095.0,17,099
1972108.0,17,031
43912.0,17,115
19739.0,17,177
7051.0,17,191
14499.0,17,203
16235.0,17,055
11408.0,17,109
112453.0,17,111
11544.0,20,051
4497.0,20,107
7321.0,20,175
228592.0,20,091
12835.0,20,121
5636.0,20,011
72267.0,20,177
25014.0,20,155
3046.0,20,043
3872.0,20,013
2316.0,20,147
6706.0,21,079
36746.0,21,037
2523.0,21,063
5741.0,21,123
8556.0,21,167
6922.0,21,207
4581.0,21,229
16931.0,21,009
3311.0,21,091
41646.0,21,093
3809.0,21,149
4770.0,21,197
5163.0,21,033
18210.0,21,019
129784.0,21,067
8488.0,21,115
4865.0,21,175
25301.0,21,199
6977.0,21,001
5358.0,21,025
7351.0,21,099
3498.0,21,223
3333.0,21,143
5268.0,21,135
10355.0,21,239
4076.0,21,131
5784.0,21,127
27854.0,21,145
2231.0,46,015
76819.0,46,099
5233.0,46,027
1651.0,46,041
7460.0,46,065
9445.0,46,135
7557.0,46,005
8660.0,46,035
3166.0,46,023
12620.0,21,235
15000.0,21,071
63966.0,21,117
5020.0,21,153
8623.0,21,205
9857.0,21,217
5499.0,21,065
48488.0,22,079
47597.0,22,105
4084.0,22,123
3665.0,22,021
2037.0,22,035
12172.0,22,039
15005.0,22,087
9643.0,22,121
3372.0,22,081
14659.0,22,069
3364.0,22,025
7423.0,22,041
8552.0,22,007
22086.0,22,113
7162.0,22,029
21338.0,23,017
62156.0,23,019
45630.0,23,001
120644.0,23,005
85314.0,23,031
21321.0,23,025
22089.0,24,047
16826.0,24,041
94323.0,25,001
54813.0,25,003
187460.0,25,023
265300.0,25,021
3713.0,25,019
43416.0,26,005
3007.0,26,003
10156.0,26,127
12199.0,26,035
24739.0,26,073
21777.0,26,157
12752.0,26,007
34199.0,26,111
3806.0,26,135
29728.0,26,037
15035.0,26,057
38345.0,26,091
23913.0,26,117
64850.0,26,147
141245.0,26,161
21019.0,26,027
11139.0,26,143
16650.0,26,023
61805.0,26,075
346402.0,26,099
3107.0,26,013
44480.0,26,045
10154.0,13,293
7503.0,13,303
11695.0,13,311
10136.0,13,225
53299.0,13,223
7048.0,13,229
6143.0,13,231
71400.0,13,245
5098.0,13,251
8241.0,13,267
7367.0,13,019
11522.0,17,135
23084.0,17,195
27112.0,17,001
14353.0,17,027
38150.0,17,037
2773.0,17,047
3711.0,17,079
14985.0,17,081
31151.0,17,183
229498.0,17,197
27029.0,17,199
6720.0,17,023
7613.0,17,041
13877.0,17,049
13940.0,17,057
4949.0,17,061
3400.0,17,065
19856.0,17,073
4303.0,17,087
20680.0,17,095
14307.0,17,105
1939.0,17,171
54291.0,17,179
6862.0,17,187
14403.0,18,061
43039.0,18,091
12862.0,18,169
12533.0,18,073
4187.0,18,101
64517.0,18,127
10992.0,18,137
