TotalEnergyExpendituremilliondollars,Totalenergyexpenditurepercapitadollarspercapita,TotalResidentialEnergyExpendituremilliondollars,ResidentialEnergyExpenditurepercapitadollarspercapita,TotalTransportationEnergyExpendituremildollars,TransportationEnergyExpenditurepercapitadollars,STATEFP,COUNTYFP
138992.4,3522.2,22860,579.29,77790,1971.27,05,019
138992.4,3522.2,22860,579.29,77790,1971.27,05,021
138992.4,3522.2,22860,579.29,77790,1971.27,05,023
138992.4,3522.2,22860,579.29,77790,1971.27,05,025
138992.4,3522.2,22860,579.29,77790,1971.27,05,027
138992.4,3522.2,22860,579.29,77790,1971.27,05,029
138992.4,3522.2,22860,579.29,77790,1971.27,05,031
138992.4,3522.2,22860,579.29,77790,1971.27,05,033
138992.4,3522.2,22860,579.29,77790,1971.27,05,035
138992.4,3522.2,22860,579.29,77790,1971.27,05,037
138992.4,3522.2,22860,579.29,77790,1971.27,05,039
138992.4,3522.2,22860,579.29,77790,1971.27,05,041
138992.4,3522.2,22860,579.29,77790,1971.27,05,043
138992.4,3522.2,22860,579.29,77790,1971.27,05,045
138992.4,3522.2,22860,579.29,77790,1971.27,05,047
138992.4,3522.2,22860,579.29,77790,1971.27,05,049
138992.4,3522.2,22860,579.29,77790,1971.27,05,051
138992.4,3522.2,22860,579.29,77790,1971.27,05,053
138992.4,3522.2,22860,579.29,77790,1971.27,05,055
138992.4,3522.2,22860,579.29,77790,1971.27,05,057
138992.4,3522.2,22860,579.29,77790,1971.27,05,059
138992.4,3522.2,22860,579.29,77790,1971.27,05,061
138992.4,3522.2,22860,579.29,77790,1971.27,05,063
138992.4,3522.2,22860,579.29,77790,1971.27,05,065
138992.4,3522.2,22860,579.29,77790,1971.27,05,067
138992.4,3522.2,22860,579.29,77790,1971.27,05,069
138992.4,3522.2,22860,579.29,77790,1971.27,05,071
138992.4,3522.2,22860,579.29,77790,1971.27,05,073
138992.4,3522.2,22860,579.29,77790,1971.27,05,075
138992.4,3522.2,22860,579.29,77790,1971.27,05,077
138992.4,3522.2,22860,579.29,77790,1971.27,05,079
138992.4,3522.2,22860,579.29,77790,1971.27,05,081
138992.4,3522.2,22860,579.29,77790,1971.27,05,083
138992.4,3522.2,22860,579.29,77790,1971.27,05,085
138992.4,3522.2,22860,579.29,77790,1971.27,05,087
138992.4,3522.2,22860,579.29,77790,1971.27,05,089
138992.4,3522.2,22860,579.29,77790,1971.27,05,091
138992.4,3522.2,22860,579.29,77790,1971.27,05,093
138992.4,3522.2,22860,579.29,77790,1971.27,05,095
138992.4,3522.2,22860,579.29,77790,1971.27,05,097
138992.4,3522.2,22860,579.29,77790,1971.27,05,099
138992.4,3522.2,22860,579.29,77790,1971.27,05,101
138992.4,3522.2,22860,579.29,77790,1971.27,05,103
138992.4,3522.2,22860,579.29,77790,1971.27,05,105
138992.4,3522.2,22860,579.29,77790,1971.27,05,107
138992.4,3522.2,22860,579.29,77790,1971.27,05,109
