ISO3,year,value,lower_uncertainty,upper_uncertainty,id
CIV,2005,0.575309097766876,,,384
CPV,2005,0.991728782653809,,,132
GHA,2005,0.592722058296204,,,288
GIN,2005,0.588307559490204,,,324
GMB,2005,0.719179093837738,,,270
GNB,2005,0.63968563079834,,,624
LBR,2005,0.758772075176239,,,430
MLI,2005,0.877648413181305,,,466
MRT,2005,0.880943059921265,,,478
NER,2005,0.85186105966568,,,562
NGA,2005,0.514092266559601,,,566
SEN,2005,0.824156701564789,,,686
SHN,2005,,,,654
SLE,2005,0.628894746303558,,,694
TGO,2005,0.628568232059479,,,768
ATF,2005,,,,260
BDI,2005,0.51041316986084,,,108
COM,2005,0.716216266155243,,,174
DJI,2005,0.738364815711975,,,262
ERI,2005,0.750807821750641,,,232
ETH,2005,0.841876268386841,,,231
IOT,2005,,,,86
KEN,2005,0.735630571842194,,,404
MDG,2005,0.587551116943359,,,450
MOZ,2005,0.687044620513916,,,508
MUS,2005,0.506121277809143,,,480
MWI,2005,0.723743379116058,,,454
MYT,2005,1.0,,,175
REU,2005,0.928507804870605,,,638
RWA,2005,0.496110528707504,,,646
SOM,2005,0.715963304042816,,,706
SSD,2005,0.640318691730499,,,728
SYC,2005,,,,690
TZA,2005,0.843299508094788,,,834
UGA,2005,0.599226534366608,,,800
ZMB,2005,0.894830942153931,,,894
ZWE,2005,0.877465844154358,,,716
AGO,2005,0.771156251430511,,,24
CAF,2005,0.946452915668488,,,140
CMR,2005,0.864406406879425,,,120
COD,2005,0.939909696578979,,,180
COG,2005,0.746959567070007,,,178
GAB,2005,0.840414226055145,,,266
GNQ,2005,0.900257289409637,,,226
STP,2005,0.848850250244141,,,678
TCD,2005,0.794612944126129,,,148
BWA,2005,0.826400876045227,,,72
LSO,2005,0.54998916387558,,,426
NAM,2005,0.770283579826355,,,516
SWZ,2005,0.621087193489075,,,748
ZAF,2005,0.584885597229004,,,710
AUS,2005,0.686838686466217,,,36
CXR,2005,,,,162
HMD,2005,,,,334
NFK,2005,,,,574
NZL,2005,0.599695682525635,,,554
FJI,2005,0.845421850681305,,,242
NCL,2005,0.856285929679871,,,540
PNG,2005,0.980625689029694,,,598
SLB,2005,0.962025225162506,,,90
VUT,2005,0.942965626716614,,,548
FSM,2005,,,,583
GUM,2005,,,,316
KIR,2005,,,,296
MHL,2005,,,,584
MNP,2005,,,,580
NRU,2005,,,,520
PLW,2005,,,,585
UMI,2005,,,,581
ASM,2005,,,,16
COK,2005,,,,184
NIU,2005,,,,570
PCN,2005,,,,612
PYF,2005,,,,258
TON,2005,,,,776
