FIPS,County_State,WaterStressERA
17057,Fulton_Illinois,0.286
17059,Gallatin_Illinois,0.024
17061,Greene_Illinois,0.002
17063,Grundy_Illinois,0.925
17065,Hamilton_Illinois,0
17067,Hancock_Illinois,0.003
17069,Hardin_Illinois,0.002
17071,Henderson_Illinois,0.024
17073,Henry_Illinois,0.011
17075,Iroquois_Illinois,0.004
17077,Jackson_Illinois,0.094
17079,Jasper_Illinois,0.739
17081,Jefferson_Illinois,0.001
17083,Jersey_Illinois,0.003
17085,Jo Daviess_Illinois,0.009
17087,Johnson_Illinois,0.003
17089,Kane_Illinois,0.128
17091,Kankakee_Illinois,0.031
17093,Kendall_Illinois,0.034
17095,Knox_Illinois,0.003
17097,Lake_Illinois,0.735
17099,LaSalle_Illinois,0.088
17101,Lawrence_Illinois,0.028
17103,Lee_Illinois,0.013
17105,Livingston_Illinois,0.006
17107,Logan_Illinois,0.008
17109,McDonough_Illinois,0.005
17111,McHenry_Illinois,0.058
17113,McLean_Illinois,0.01
17115,Macon_Illinois,0.052
17117,Macoupin_Illinois,0.004
17119,Madison_Illinois,0.311
17121,Marion_Illinois,0.002
17123,Marshall_Illinois,0.007
17125,Mason_Illinois,0.122
17127,Massac_Illinois,1.411
17129,Menard_Illinois,0.008
17131,Mercer_Illinois,0.01
17133,Monroe_Illinois,0.004
17135,Montgomery_Illinois,0.472
17137,Morgan_Illinois,0.006
17139,Moultrie_Illinois,0.002
17141,Ogle_Illinois,0.084
17143,Peoria_Illinois,0.587
17145,Perry_Illinois,0.003
17147,Piatt_Illinois,0.012
17149,Pike_Illinois,0.003
17151,Pope_Illinois,0.001
17153,Pulaski_Illinois,0.004
17155,Putnam_Illinois,0.961
17157,Randolph_Illinois,0.03
17159,Richland_Illinois,0.004
17161,Rock Island_Illinois,2.138
17163,St. Clair_Illinois,0.036
17165,Saline_Illinois,0.005
17167,Sangamon_Illinois,0.308
17169,Schuyler_Illinois,0.003
17171,Scott_Illinois,0.019
17173,Shelby_Illinois,0.003
17175,Stark_Illinois,0.002
17177,Stephenson_Illinois,0.013
17179,Tazewell_Illinois,0.122
17181,Union_Illinois,0.003
17183,Vermilion_Illinois,0.013
17185,Wabash_Illinois,0.01
17187,Warren_Illinois,0.006
17189,Washington_Illinois,0.002
17191,Wayne_Illinois,0.002
17193,White_Illinois,0.02
17195,Whiteside_Illinois,0.023
17197,Will_Illinois,1.694
17199,Williamson_Illinois,0.399
17201,Winnebago_Illinois,0.065
17203,Woodford_Illinois,0.014
18001,Adams_Indiana,0.023
18003,Allen_Indiana,0.073
18005,Bartholomew_Indiana,0.037
18007,Benton_Indiana,0.003
18009,Blackford_Indiana,0.012
18011,Boone_Indiana,0.011
18013,Brown_Indiana,0.001
18015,Carroll_Indiana,0.026
18017,Cass_Indiana,0.064
18019,Clark_Indiana,0.065
18021,Clay_Indiana,0.002
18023,Clinton_Indiana,0.014
18025,Crawford_Indiana,0.006
18027,Daviess_Indiana,0.02
18029,Dearborn_Indiana,0.573
18031,Decatur_Indiana,0.01
18033,DeKalb_Indiana,0.026
18035,Delaware_Indiana,0.038
18037,Dubois_Indiana,0.013
18039,Elkhart_Indiana,0.069
18041,Fayette_Indiana,0.012
