'state_id','county_id','value','start_date','end_date','source','dataset'),
(5,23,93.0,'2016-01-01','2016-12-31',13,73),
(5,25,12.0,'2016-01-01','2016-12-31',13,73),
(5,27,96.0,'2016-01-01','2016-12-31',13,73),
(5,29,94.0,'2016-01-01','2016-12-31',13,73),
(5,31,313.0,'2016-01-01','2016-12-31',13,73),
(5,33,180.0,'2016-01-01','2016-12-31',13,73),
(5,35,141.0,'2016-01-01','2016-12-31',13,73),
(5,37,78.0,'2016-01-01','2016-12-31',13,73),
(5,39,36.0,'2016-01-01','2016-12-31',13,73),
(5,41,65.0,'2016-01-01','2016-12-31',13,73),
(5,43,77.0,'2016-01-01','2016-12-31',13,73),
(5,45,270.0,'2016-01-01','2016-12-31',13,73),
(5,47,55.0,'2016-01-01','2016-12-31',13,73),
(5,49,29.0,'2016-01-01','2016-12-31',13,73),
(5,51,457.0,'2016-01-01','2016-12-31',13,73),
(5,53,61.0,'2016-01-01','2016-12-31',13,73),
(5,55,142.0,'2016-01-01','2016-12-31',13,73),
(5,57,87.0,'2016-01-01','2016-12-31',13,73),
(5,59,125.0,'2016-01-01','2016-12-31',13,73),
(5,61,52.0,'2016-01-01','2016-12-31',13,73),
(5,63,156.0,'2016-01-01','2016-12-31',13,73),
(5,65,45.0,'2016-01-01','2016-12-31',13,73),
(5,67,42.0,'2016-01-01','2016-12-31',13,73),
(5,69,303.0,'2016-01-01','2016-12-31',13,73),
(5,71,82.0,'2016-01-01','2016-12-31',13,73),
(5,73,25.0,'2016-01-01','2016-12-31',13,73),
(5,75,63.0,'2016-01-01','2016-12-31',13,73),
(5,77,21.0,'2016-01-01','2016-12-31',13,73),
(5,79,51.0,'2016-01-01','2016-12-31',13,73),
(5,81,53.0,'2016-01-01','2016-12-31',13,73),
(5,83,75.0,'2016-01-01','2016-12-31',13,73),
(5,85,196.0,'2016-01-01','2016-12-31',13,73),
(5,87,54.0,'2016-01-01','2016-12-31',13,73),
(5,89,79.0,'2016-01-01','2016-12-31',13,73),
(5,91,150.0,'2016-01-01','2016-12-31',13,73),
(5,93,147.0,'2016-01-01','2016-12-31',13,73),
(5,95,35.0,'2016-01-01','2016-12-31',13,73),
(5,97,31.0,'2016-01-01','2016-12-31',13,73),
(5,99,26.0,'2016-01-01','2016-12-31',13,73),
(5,101,15.0,'2016-01-01','2016-12-31',13,73),
(5,103,109.0,'2016-01-01','2016-12-31',13,73),
(5,105,26.0,'2016-01-01','2016-12-31',13,73),
(5,107,45.0,'2016-01-01','2016-12-31',13,73),
(5,109,33.0,'2016-01-01','2016-12-31',13,73),
(5,111,104.0,'2016-01-01','2016-12-31',13,73),
(5,113,76.0,'2016-01-01','2016-12-31',13,73),
(5,115,159.0,'2016-01-01','2016-12-31',13,73),
(5,119,1172.0,'2016-01-01','2016-12-31',13,73),
(5,121,65.0,'2016-01-01','2016-12-31',13,73),
(5,123,87.0,'2016-01-01','2016-12-31',13,73),
(5,125,317.0,'2016-01-01','2016-12-31',13,73),
(5,127,12.0,'2016-01-01','2016-12-31',13,73),
(5,129,23.0,'2016-01-01','2016-12-31',13,73),
(5,131,397.0,'2016-01-01','2016-12-31',13,73),
(5,133,31.0,'2016-01-01','2016-12-31',13,73),
(5,135,82.0,'2016-01-01','2016-12-31',13,73),
(5,137,36.0,'2016-01-01','2016-12-31',13,73),
(5,139,143.0,'2016-01-01','2016-12-31',13,73),
(5,141,81.0,'2016-01-01','2016-12-31',13,73),
(5,143,618.0,'2016-01-01','2016-12-31',13,73),
(5,145,270.0,'2016-01-01','2016-12-31',13,73),
(5,147,23.0,'2016-01-01','2016-12-31',13,73),
(5,149,86.0,'2016-01-01','2016-12-31',13,73),
(6,1,2997.0,'2016-01-01','2016-12-31',13,73),
(6,5,127.0,'2016-01-01','2016-12-31',13,73),
(6,7,747.0,'2016-01-01','2016-12-31',13,73),
(6,9,140.0,'2016-01-01','2016-12-31',13,73),
(6,11,38.0,'2016-01-01','2016-12-31',13,73),
(6,13,2218.0,'2016-01-01','2016-12-31',13,73),
(6,15,62.0,'2016-01-01','2016-12-31',13,73),
(6,17,470.0,'2016-01-01','2016-12-31',13,73),
(6,19,2216.0,'2016-01-01','2016-12-31',13,73),
(6,21,90.0,'2016-01-01','2016-12-31',13,73),
(6,23,412.0,'2016-01-01','2016-12-31',13,73),
(6,25,343.0,'2016-01-01','2016-12-31',13,73),
(6,27,41.0,'2016-01-01','2016-12-31',13,73),
(6,29,1839.0,'2016-01-01','2016-12-31',13,73),
(6,31,251.0,'2016-01-01','2016-12-31',13,73),
(6,33,228.0,'2016-01-01','2016-12-31',13,73),
(6,35,49.0,'2016-01-01','2016-12-31',13,73),
(6,37,22035.0,'2016-01-01','2016-12-31',13,73),
(6,39,340.0,'2016-01-01','2016-12-31',13,73),
(6,41,544.0,'2016-01-01','2016-12-31',13,73),
(6,43,47.0,'2016-01-01','2016-12-31',13,73),
(6,45,233.0,'2016-01-01','2016-12-31',13,73),
(6,47,569.0,'2016-01-01','2016-12-31',13,73),
(6,49,21.0,'2016-01-01','2016-12-31',13,73),
(6,53,717.0,'2016-01-01','2016-12-31',13,73),
(6,55,377.0,'2016-01-01','2016-12-31',13,73),
(6,57,321.0,'2016-01-01','2016-12-31',13,73),
(6,59,6526.0,'2016-01-01','2016-12-31',13,73),
(6,61,943.0,'2016-01-01','2016-12-31',13,73),
(6,63,54.0,'2016-01-01','2016-12-31',13,73),
(6,65,5683.0,'2016-01-01','2016-12-31',13,73),
(6,67,3536.0,'2016-01-01','2016-12-31',13,73),
(6,69,93.0,'2016-01-01','2016-12-31',13,73),
(6,71,4617.0,'2016-01-01','2016-12-31',13,73),
(6,73,6882.0,'2016-01-01','2016-12-31',13,73),
(6,75,1785.0,'2016-01-01','2016-12-31',13,73),
(6,77,1707.0,'2016-01-01','2016-12-31',13,73),
(6,79,741.0,'2016-01-01','2016-12-31',13,73),
(6,81,1532.0,'2016-01-01','2016-12-31',13,73),
(6,83,975.0,'2016-01-01','2016-12-31',13,73),
(6,85,3202.0,'2016-01-01','2016-12-31',13,73),
(6,87,507.0,'2016-01-01','2016-12-31',13,73),
(6,89,662.0,'2016-01-01','2016-12-31',13,73),
(6,93,178.0,'2016-01-01','2016-12-31',13,73),
(6,95,914.0,'2016-01-01','2016-12-31',13,73),
(6,97,1331.0,'2016-01-01','2016-12-31',13,73),
(6,99,1358.0,'2016-01-01','2016-12-31',13,73),
(6,101,274.0,'2016-01-01','2016-12-31',13,73),
(6,103,194.0,'2016-01-01','2016-12-31',13,73),
(6,105,23.0,'2016-01-01','2016-12-31',13,73),
(6,107,1029.0,'2016-01-01','2016-12-31',13,73),
(6,109,208.0,'2016-01-01','2016-12-31',13,73),
(6,111,1792.0,'2016-01-01','2016-12-31',13,73),
(6,113,374.0,'2016-01-01','2016-12-31',13,73),
(6,115,186.0,'2016-01-01','2016-12-31',13,73),
(8,1,733.0,'2016-01-01','2016-12-31',13,73),
(8,3,28.0,'2016-01-01','2016-12-31',13,73),
(8,5,978.0,'2016-01-01','2016-12-31',13,73),
(8,7,15.0,'2016-01-01','2016-12-31',13,73),
(8,13,474.0,'2016-01-01','2016-12-31',13,73),
(8,14,68.0,'2016-01-01','2016-12-31',13,73),
(8,15,38.0,'2016-01-01','2016-12-31',13,73),
(8,21,10.0,'2016-01-01','2016-12-31',13,73),
(8,29,113.0,'2016-01-01','2016-12-31',13,73),
(8,31,1202.0,'2016-01-01','2016-12-31',13,73),
(8,35,310.0,'2016-01-01','2016-12-31',13,73),
(8,39,19.0,'2016-01-01','2016-12-31',13,73),
(8,41,1253.0,'2016-01-01','2016-12-31',13,73),
