'state_id','county_id','value','start_date','end_date','source','dataset'),
(5,21,8.41,'2015-01-01','2015-12-31',12,69),
(12,47,7.6,'2015-01-01','2015-12-31',12,69),
(18,43,9.63,'2015-01-01','2015-12-31',12,69),
(26,57,8.57,'2015-01-01','2015-12-31',12,69),
(19,137,7.81,'2015-01-01','2015-12-31',12,69),
(27,151,5.58,'2015-01-01','2015-12-31',12,69),
(27,127,5.73,'2015-01-01','2015-12-31',12,69),
(20,23,5.09,'2015-01-01','2015-12-31',12,69),
(21,87,8.41,'2015-01-01','2015-12-31',12,69),
(17,41,8.6,'2015-01-01','2015-12-31',12,69),
(17,95,9.01,'2015-01-01','2015-12-31',12,69),
(51,590,8.42,'2015-01-01','2015-12-31',12,69),
(55,65,8.8,'2015-01-01','2015-12-31',12,69),
(48,195,6.25,'2015-01-01','2015-12-31',12,69),
(48,437,6.14,'2015-01-01','2015-12-31',12,69),
(8,95,5.5,'2015-01-01','2015-12-31',12,69),
(17,67,8.51,'2015-01-01','2015-12-31',12,69),
(26,101,6.59,'2015-01-01','2015-12-31',12,69),
(30,75,6.44,'2015-01-01','2015-12-31',12,69),
(31,127,7.72,'2015-01-01','2015-12-31',12,69),
(28,59,8.7,'2015-01-01','2015-12-31',12,69),
(48,483,5.12,'2015-01-01','2015-12-31',12,69),
(46,101,6.51,'2015-01-01','2015-12-31',12,69),
(45,83,8.3,'2015-01-01','2015-12-31',12,69),
(4,25,4.0,'2015-01-01','2015-12-31',12,69),
(13,67,9.01,'2015-01-01','2015-12-31',12,69),
(13,43,8.53,'2015-01-01','2015-12-31',12,69),
(31,75,3.89,'2015-01-01','2015-12-31',12,69),
(19,99,7.64,'2015-01-01','2015-12-31',12,69),
(21,9,8.39,'2015-01-01','2015-12-31',12,69),
(19,175,7.53,'2015-01-01','2015-12-31',12,69),
(26,143,6.17,'2015-01-01','2015-12-31',12,69),
(29,151,7.97,'2015-01-01','2015-12-31',12,69),
(28,85,8.8,'2015-01-01','2015-12-31',12,69),
(39,47,9.76,'2015-01-01','2015-12-31',12,69),
(47,177,8.77,'2015-01-01','2015-12-31',12,69),
(48,227,5.53,'2015-01-01','2015-12-31',12,69),
(48,151,7.2,'2015-01-01','2015-12-31',12,69),
(48,357,6.33,'2015-01-01','2015-12-31',12,69),
(17,115,8.92,'2015-01-01','2015-12-31',12,69),
(8,25,5.49,'2015-01-01','2015-12-31',12,69),
(19,11,8.18,'2015-01-01','2015-12-31',12,69),
(19,65,8.35,'2015-01-01','2015-12-31',12,69),
(20,133,7.74,'2015-01-01','2015-12-31',12,69),
(27,85,6.63,'2015-01-01','2015-12-31',12,69),
(13,21,8.59,'2015-01-01','2015-12-31',12,69),
(38,35,5.79,'2015-01-01','2015-12-31',12,69),
